userName,content,score,sentiment
Pengguna Google,buh priwe,1,Negatif
Pengguna Google,sering transaksi tanpa persetujuan,1,Negatif
Pengguna Google,ga perlu kode otp bisa ga sih... kan. sudah ada nomor pin... kartu nya hilang ribet banget sih.. .lebih baik gopay ga ribet asal apal nomor pin tinggal masuk ga perlu otp otp an ....,1,Negatif
Pengguna Google,kurang bgs layanan nya tba tba suka ke potong sendiri babi,1,Negatif
Pengguna Google,"Masih pake Dana sampai Agustus selebihnya nggak akan lagi2, buat yang mau bikin akun Qris buat usaha sebaiknya jangan karena LAMA BGT prosesnya.. SANGAT BURUK jika mau tarik saldo dari Qris Bisnis, prosesnya lama . Dana tidak siap akan perkembangan teknologi karena kompetitor mereka jauh lebih baik",1,Negatif
Pengguna Google,jgn pernah simpan duit di apk dana rampog online cs nyah juga robot tiap ada problem balas itu itu ajah tanpa ada kata lain makin muak gue pake apk ini sampah,1,Negatif
Pengguna Google,sekrang apk dana udah berani mencuri uang saya heran stiap saya topup aja ada aja ke hulangan 10rbu aneh masa baya admin sampe 10 rbu gj,1,Negatif
Pengguna Google,tolong kalau bisa aktifkan dana cicil udah beberapa kali pengajuan tetap aja tidak mau,1,Negatif
Pengguna Google,sering crash,1,Negatif
Pengguna Google,Udah ke istal tapi ga bisa ke buka kenapa ya,1,Negatif
Pengguna Google,jelek sering ngelek,1,Negatif
Pengguna Google,sinyal apaan sih kadang bagus kadang jelak,1,Negatif
Pengguna Google,sering payment sendiri bayar sesuatu yang bahkan kita ga membeli dan juga dana cicil ini tiba tiba ada tagihan pulsa dari no tida di kenal dan saya yang harus bayar 😢 dulu baguss banget dana saya suka pake nya tapi sekarang sistem bobrok dana saya sering kecolongan tiba tiba punya cicilan ini sangat merugikan saya . saya sangat sangat kecewa berat 😓😞,1,Negatif
Pengguna Google,dana gak jelas saldo sering ke potong tiba tiba,1,Negatif
Pengguna Google,"Saya pengguna aplikasi ini sejak lama, bayar tagihan dana cicil tidak pernah terlambat, limit tersedia tapi tidak bisa digunakan. mohon diperbaiki sistemnnya lagi",1,Negatif
Pengguna Google,sering ngebug aplikasi ini,1,Negatif
Pengguna Google,sering ngebug. aplikasi keuangan tapi sering bermasalah.,1,Negatif
Pengguna Google,ka kenpa limit dana cicil ku tidak bisa di gunakan ya padahal limit ada tolong di perbaiki padahal sudah tidak ada tunggakan ka,1,Negatif
Pengguna Google,aplikasi gajelas anjg,1,Negatif
Pengguna Google,d persulit dana goals ya mau narik menudah suya ada ke peluar saja😡😡,1,Negatif
Pengguna Google,Dana saya sudah Protec tapi masih bisa kebobolan pembayaran berlangganan 265.000 ke google play padahal pembayaran saya di google tidak menggunakan Nomor dana Saya . saat komplain ke dana tidak ada solusi sama sekali hanya robot yang berbicara. KECEWA TERHADAP pelayanan Dana,1,Negatif
Pengguna Google,dana gajelas,1,Negatif
Pengguna Google,"saya beri bintang 1 karena, saya transfer uang dari dana ke bank BRI kenapa kaga masuk masuk udah sampai 2 hari, saya ingin pengembalian dana",1,Negatif
Pengguna Google,"masih gak bisa , nunggak kga pernah dasar apk asu",1,Negatif
Pengguna Google,Fitur DANA CICIL tidak muncul,1,Negatif
Pengguna Google,aplikasi jelek duit banyak ketarik ga jelas dari mana ga bisa di batalkan atau putuskan cs tidak berguna ga bisa kerja,1,Negatif
Pengguna Google,aplikasinya susah dipakai .dll bug.,1,Negatif
Pengguna Google,menghapus akun aja banyak tingkah ni dana !,1,Negatif
Pengguna Google,aplikasi pilih kasih,1,Negatif
Pengguna Google,"hallo team dana,,. saya mengalami kendala. saat saya bertransaksi/mengirim saldo.kenapa di tolak dengan alasan keamanan??sudah 3 hari saya tidak bisa bertransaksi.!!!",1,Negatif
Pengguna Google,"jelek bnget duit pada hilang disini..bulan ini uang saya yg hilang RP. 652,000,00.- . hilang semua dan ga bish di kembalikan..hati² jangan terlalu pke dana keamanan kurang baik..dan apa yg hilang tidak bish kembali ..",1,Negatif
Pengguna Google,percuma punya limit dana cicil kalo ga bisa di pake mah.. payah. 👎👎👎👎👎,1,Negatif
Pengguna Google,"aplikasi ga guna bisa transaksi sendiri aneh wkwkwk,jangan pada download apk inii kalo ga mau nyesel",1,Negatif
Pengguna Google,tolong dana di beri live chat robot anda tidak berguna sama sekali,1,Negatif
Pengguna Google,jadi lemot bgt,1,Negatif
Pengguna Google,"parah lah mau transaksi aja dipersulit pake harus pending segala, ngerugiin sekalian blokir aja ni aplikasi ga guna bnget",1,Negatif
Pengguna Google,"kenapa aktivasi dana cicil saya ditolak? padahal perdana daftar,kendalanya dimana? 😢",1,Negatif
Pengguna Google,ingin selalu ngebug keluar terus gimana ini??😑,1,Negatif
Pengguna Google,dana saya tidak bisa dibuka dicuri orang,1,Negatif
Pengguna Google,tidak bisa masuk ke aplikasi,1,Negatif
Pengguna Google,udah lebih 2 bulan tapi fitur dana cicil tidak bisa digunakan pdhal limt tersedia..dan pembayaran sebelumnya juga udh lunas semua..gmna ini makin kesini ga jelas,1,Negatif
Pengguna Google,ini dana ke Napa lagi login kok mental mental,1,Negatif
Pengguna Google,buruk... tidak merasa kirim ... malah bisa kirim sendiri tanpa verivikasi pin ...,1,Negatif
Pengguna Google,aplikasi ini tidak resmi karna saya telah 2kali melakukan transaksi tampa saya ketahui aplikasi yang paling buruk dan pelayan yang buruk,1,Negatif
Pengguna Google,bosku kenaoa akun dana saya gk bisa pake dana cicil,1,Negatif
Pengguna Google,"Yah, ada kendala pada proses ini. Coba lagi ya!",1,Negatif
Pengguna Google,ko mau log in apps ganguan jaringan sh aneh padahal paket internet msh banyak parah bner makin kesininya ada aja gebraganya,1,Negatif
Pengguna Google,Aplikasi buruk tiba tiba dana cicil udh di lunasi ga bisa di pake kembali padahal tepat waktu pembayaranya,1,Negatif
Pengguna Google,buruk,1,Negatif
Pengguna Google,ini kok sistem dana ku kok dirusak,1,Negatif
Pengguna Google,"lama lama gregetan pake dana,mau chat customer aja di pier sana oper sini.gk jelas",1,Negatif
Pengguna Google,robot smua anking yg nyaut. mana gk nyambung. ai lo sampah.,1,Negatif
Pengguna Google,goblokk sering gangguan tolol,1,Negatif
Pengguna Google,uang di dana tiba tiba di sedot giliran cek di google ga ada transaksi,1,Negatif
Pengguna Google,aplikasi mmk. ga ada persetujuan apa apa tiba tiba udah kebeli sendiri.,1,Negatif
Pengguna Google,"saya pengguna dana sudah lama , dan transaksi saya selalu menggunakan dana tapi knapa dana instan di apk dana saya tidak ada ya , akun sudah premium aktivitas boleh di cek la kenapa bisa seperti itu , sementara temen saya baru pakai beberapa bulan sudah ada",1,Negatif
Pengguna Google,"saldo hilang tbtb ada transaksi yang tidak saya lakukan, sudah pengaduan tapi tidak ada solusi yang bener2 duitnya bakal kembali. kecewa banget sama dana",1,Negatif
Pengguna Google,jelek banget saldo bisinis saya masih di proses padahal dah lama banget GK cocok kalo buat usaha harian seperti saya,1,Negatif
Pengguna Google,Blm bisa daptar kenapa..,1,Negatif
Pengguna Google,"tolong ya jngn kasih limit klo tdk bisa d pakai, itu bgi saya beda2 tipis sm nipu orang",1,Negatif
Pengguna Google,bertahun-tahun saya pake dana selalu nyaman dan baru kali ini di bulan ini KENAPA NOMOR SAYA TIDAK TERDAFTAR KETIKA MAU DI TRANSFER!! TOLONG YA DI PERBAIKI JANGAN SAMPAI SAYA UNINSTALL AJA NI APK BUTUT!!,1,Negatif
Pengguna Google,Kenapa tidak bisa menginstal dana .,1,Negatif
Pengguna Google,buruk dak bisa di login,1,Negatif
Pengguna Google,saya tidak bisa login ini aplikasi bug,1,Negatif
Pengguna Google,"aplikasi gajelas, saya top up Flazz dri dana tidak masuk padahal sudah terpotong, hadeh saya udh lapor cs nya si diana tpi responnya muter muter seperti tidak ingin membantu, aplikasi kikir!!!! jika tidak bisa membantu minimal refund saldo saya!!!!!!!!!",1,Negatif
Pengguna Google,dana cicil kpotong otomatis gw mw bayar smua biar dapet promo malah kaga kbayar smua promo kaga dapet .. iming2 promo2 .. gw chat admin nya sama aj gada solusi .. pelayanan burukk .. kocag .. dh tinggal recehan ini apus akun aj,1,Negatif
Pengguna Google,dana asu bisaa gaa sihh udh login pin udah bener verifikasi muka udah segala ada paskey udah tau hp gw rusak… ini mau login di hp sebelah segala minta kode otp udah gant nomor juga udh dapet kode verifikasi nya dari sms ehh malah tambah email asuuu udh di masukin email nya malah ga di kirim kode verifikasi nya di dana gua ada duit woyy lu bisa gaa sihh ga usah bikin orang ribet cuma login dana doang susah banget monyett,1,Negatif
Pengguna Google,"Saldo saya di DANA+ hilang 217.000, karena ada yang membajak akun saya, tolong kembalikan saldo saya yang 217.000",1,Negatif
Pengguna Google,"hati2 dengan aplikasi ini,silap2 uang raip,aplikasih penipu,",1,Negatif
Pengguna Google,dana banyak penipuan saldo saya hilang ada yg bajak akun saya padahal dana premium,1,Negatif
Pengguna Google,aplikasi jelek,1,Negatif
Pengguna Google,"saya kecewa dengan apk ini, kok bisa tf uang tanpa ada kode otp dan masukan pin. tiba2 uang saya hilang 102.000. minta bantuan kepihak dana malah tidak ada kejelasan sama sekali",1,Negatif
Pengguna Google,"Dana saya telah dibekukan. menurut keterangan ini hanya sementara. setelah 2hari dana diambil oprator dana sudah 15hari nungguin malah g dibalikin. nelfon oprator jawab tunggu sbntr. mohon balikin dana saya KLO mau nyuri Jagan terang""Ngan lah. monyet, ngeselin banget kata a. dijamin kemanan nya. dih maling aplikasi maling ini. KLO mau bukti aku masii ada transaksii nya. maling berdasii ngumpul disini setan.....balikin dana saya woyyy. oprator jangan pura"" tuli.",1,Negatif
Pengguna Google,kecewa setelah lunas dana instan gak bisa dipake lagi,1,Negatif
Pengguna Google,mengecewakan,1,Negatif
Pengguna Google,no kartu hilang gada solusi lagi buat masuk . peraturan vermuk buat apa kalo ada verif sms . gada solusi lagi aset hilang karna gbsa masuk,1,Negatif
Pengguna Google,"sumpah yaaaa , susah bnget , aku cma mau ajukan pindah akun yg baru krna no yg lama mati kartunya . tpi gak d ajukan pdahal akun lama itu bersih loh",1,Negatif
Pengguna Google,dana Cicil saya belum muncul,1,Negatif
